Order_ID,Date,Time,Month,DayOfWeek,Weather,Category,Menu,Type,Price,Cost,Margin,Is_Set
20230101-0001,2023-01-01,10:47,1,Sun,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230101-0002,2023-01-01,20:47,1,Sun,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230101-0003,2023-01-01,11:37,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0004,2023-01-01,18:38,1,Sun,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230101-0005,2023-01-01,18:26,1,Sun,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230101-0006,2023-01-01,10:48,1,Sun,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230101-0007,2023-01-01,21:27,1,Sun,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230101-0008,2023-01-01,15:06,1,Sun,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230101-0009,2023-01-01,19:16,1,Sun,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230101-0010,2023-01-01,21:29,1,Sun,Sunny,Coffee,Filter,Hot,5500,1310,4190,FALSE
20230101-0011,2023-01-01,18:18,1,Sun,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230101-0012,2023-01-01,19:56,1,Sun,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230101-0013,2023-01-01,19:12,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0014,2023-01-01,14:05,1,Sun,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230101-0015,2023-01-01,11:24,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0016,2023-01-01,15:22,1,Sun,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230101-0017,2023-01-01,20:04,1,Sun,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230101-0018,2023-01-01,12:29,1,Sun,Sunny,Coffee,Filter,Ice,5500,1950,3550,FALSE
20230101-0019,2023-01-01,18:14,1,Sun,Sunny,Coffee,Latte,Ice,4500,1150,3350,FALSE
20230101-0020,2023-01-01,13:52,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
